date,n,auc,auc_lo,auc_hi,calib_err
2019-09-20,150,0.605,,,0.1266666666666667
2019-09-25,150,0.6081026469993939,,,0.14
2019-09-26,150,0.6081026469993939,,,0.14
2019-09-27,150,0.61,,,0.14
2019-10-03,150,0.605,,,0.14666666666666667
2019-10-31,150,0.6019013666072489,,,0.1333333333333333
2019-11-08,150,0.606951871657754,,,0.12666666666666665
2019-11-20,150,0.6120023767082591,,,0.12
2019-11-21,150,0.6170528817587642,,,0.11333333333333329
2019-12-30,150,0.6144034536891679,,,0.09999999999999998
2020-01-23,150,0.6122994652406417,,,0.09999999999999998
2020-01-24,150,0.6047880690737834,,,0.09333333333333332
2020-01-30,150,0.5996860282574569,,,0.09999999999999998
2020-01-31,150,0.6017311807041431,,,0.09999999999999998
2020-02-18,150,0.6017311807041431,,,0.09999999999999998
2020-02-20,150,0.6017311807041431,,,0.09999999999999998
2020-02-21,150,0.6017311807041431,,,0.09999999999999998
2020-02-26,150,0.5965765415288854,,,0.10666666666666669
2020-02-27,150,0.5983796296296297,,,0.10666666666666669
2020-02-28,150,0.5931712962962963,,,0.11333333333333334
2020-03-05,150,0.5879629629629629,,,0.12
2020-03-11,150,0.5879629629629629,,,0.12
2020-03-12,150,0.5827546296296297,,,0.1266666666666667
2020-03-18,150,0.5775462962962963,,,0.13333333333333336
2020-03-20,150,0.5789473684210527,,,0.13333333333333336
2020-03-23,150,0.5736842105263158,,,0.14000000000000007
2020-04-03,150,0.5684210526315789,,,0.14666666666666667
2020-04-13,150,0.5619212962962963,,,0.15333333333333332
2020-04-30,150,0.5553394281268236,,,0.15999999999999998
2020-05-01,150,0.5604940673020813,,,0.15333333333333338
2020-05-13,150,0.5578703703703703,,,0.14
2020-05-14,150,0.5578703703703703,,,0.14
2020-05-21,150,0.5593301435406699,,,0.14000000000000007
2020-05-22,150,0.5593301435406699,,,0.14000000000000007
2020-05-29,150,0.5593301435406699,,,0.14000000000000007
2020-06-10,150,0.5645933014354066,,,0.13333333333333336
2020-06-11,150,0.5569908814589666,,,0.12666666666666665
2020-06-17,150,0.5516717325227963,,,0.13333333333333336
2020-06-19,150,0.5593301435406699,,,0.14000000000000007
2020-06-24,150,0.5593301435406699,,,0.14000000000000007
2020-06-26,150,0.565919452887538,,,0.13333333333333336
2020-07-09,150,0.5606003039513677,,,0.13999999999999996
2020-07-23,150,0.5529145444255801,,,0.1333333333333333
2020-07-30,150,0.5475382003395586,,,0.14
2020-07-31,150,0.5475382003395586,,,0.14
2020-08-10,150,0.5475382003395586,,,0.14
2020-08-31,150,0.5475382003395586,,,0.14
2020-09-03,150,0.5399175412293853,,,0.13333333333333336
2020-09-04,150,0.5399175412293853,,,0.13333333333333336
2020-09-08,150,0.5344827586206896,,,0.13999999999999996
2020-09-10,150,0.5431034482758621,,,0.14666666666666667
2020-09-11,150,0.5509337860780985,,,0.15333333333333332
2020-09-18,150,0.5421618562535371,,,0.1466666666666666
2020-09-21,150,0.5421618562535371,,,0.1466666666666666
2020-09-23,150,0.5485382308845578,,,0.13999999999999996
2020-10-14,150,0.5408828459675917,,,0.1333333333333333
2020-10-19,150,0.5324082696964053,,,0.1266666666666667
2020-10-26,150,0.5239336934252189,,,0.12
2020-10-28,150,0.5305555555555556,,,0.11333333333333329
2020-10-30,150,0.5239336934252189,,,0.12
2020-11-06,150,0.5226761619190404,,,0.12000000000000005
2020-11-12,150,0.5281109445277361,,,0.11333333333333334
2020-11-25,150,0.5281109445277361,,,0.11333333333333334
2020-12-18,150,0.5281109445277361,,,0.11333333333333334
2020-12-21,150,0.5335457271364318,,,0.10666666666666669
2021-01-04,150,0.5249250374812594,,,0.10000000000000003
2021-01-15,150,0.530359820089955,,,0.09333333333333332
2021-01-25,150,0.5357946026986506,,,0.08666666666666667
2021-01-27,150,0.528962562860868,,,0.08000000000000002
2021-01-29,150,0.5305555555555556,,,0.07999999999999996
2021-02-18,150,0.5361111111111111,,,0.0733333333333333
2021-02-25,150,0.5375759808436176,,,0.0733333333333333
2021-02-26,150,0.5375759808436176,,,0.0733333333333333
2021-03-03,150,0.5293792595321422,,,0.06666666666666665
2021-03-04,150,0.5211825382206667,,,0.06
2021-03-05,150,0.5138888888888888,,,0.06666666666666665
2021-03-19,150,0.5138888888888888,,,0.06666666666666665
2021-03-29,150,0.5149934810951761,,,0.08000000000000002
2021-04-14,150,0.5217391304347826,,,0.08666666666666667
2021-04-19,150,0.5217391304347826,,,0.08666666666666667
2021-04-22,150,0.5217391304347826,,,0.08666666666666667
2021-05-06,150,0.5163043478260869,,,0.09333333333333332
2021-05-10,150,0.5094989756006705,,,0.08666666666666667
2021-05-12,150,0.5111111111111111,,,0.08666666666666667
2021-06-07,150,0.5124790463773514,,,0.10000000000000003
2021-06-14,150,0.5194902548725637,,,0.10666666666666669
2021-06-16,150,0.5194902548725637,,,0.10666666666666669
2021-06-17,150,0.5265987549518959,,,0.11333333333333334
2021-06-18,150,0.5319750990379174,,,0.10666666666666669
2021-07-06,150,0.523203169213356,,,0.09999999999999998
2021-07-15,150,0.5212765957446809,,,0.09999999999999998
2021-07-16,150,0.519807583474816,,,0.08666666666666667
2021-07-19,150,0.5176671732522796,,,0.08666666666666667
2021-08-16,150,0.5229863221884499,,,0.07999999999999996
2021-08-18,150,0.5140577507598785,,,0.0733333333333333
2021-08-26,150,0.5130164119977363,,,0.06
2021-09-07,150,0.5183927560837578,,,0.053333333333333344
2021-09-10,150,0.517616191904048,,,0.040000000000000036
2021-09-16,150,0.5200223505308251,,,0.040000000000000036
2021-09-17,150,0.5200223505308251,,,0.040000000000000036
2021-09-20,150,0.5200223505308251,,,0.040000000000000036
2021-09-30,150,0.5121814092953523,,,0.04666666666666669
2021-11-10,150,0.5060532687651331,,,0.040000000000000036
2021-11-17,150,0.5115477742596387,,,0.03333333333333338
2021-11-18,150,0.5170422797541442,,,0.026666666666666672
2021-11-26,150,0.5170422797541442,,,0.026666666666666672
2021-12-03,150,0.5170422797541442,,,0.026666666666666672
2021-12-13,150,0.5166666666666667,,,0.013333333333333308
2021-12-15,150,0.5140622089774632,,,0.013333333333333364
2021-12-17,150,0.5112443778110944,,,0.013333333333333364
2021-12-20,150,0.5112443778110944,,,0.013333333333333364
2022-01-05,150,0.5110821382007823,,,0.0
2022-01-06,150,0.5110821382007823,,,0.0
2022-01-07,150,0.5055876327062768,,,0.00666666666666671
2022-01-10,150,0.5000931272117712,,,0.013333333333333364
2022-01-13,150,0.4916185509405848,,,0.00666666666666671
2022-01-18,150,0.4917541229385307,,,0.020000000000000018
2022-01-21,150,0.49459862171726576,,,0.020000000000000018
2022-01-27,150,0.4891041162227603,,,0.026666666666666672
2022-01-28,150,0.4917541229385307,,,0.03666666666666668
2022-02-11,150,0.4858446638107655,,,0.030000000000000027
2022-02-14,150,0.4858446638107655,,,0.030000000000000027
2022-02-17,150,0.48842592592592593,,,0.02999999999999997
2022-02-18,150,0.4828703703703704,,,0.036666666666666625
2022-02-22,150,0.4834233563047122,,,0.050000000000000044
2022-03-03,150,0.47792885081020675,,,0.0566666666666667
2022-03-04,150,0.4724343453157012,,,0.06333333333333335
2022-03-07,150,0.4746296296296296,,,0.0633333333333333
2022-04-06,150,0.4690740740740741,,,0.06999999999999995
2022-04-08,150,0.46144533432669027,,,0.07666666666666666
2022-04-11,150,0.4690740740740741,,,0.06999999999999995
2022-04-14,150,0.4766071099650028,,,0.0633333333333333
2022-04-21,150,0.4840542521994135,,,0.05666666666666664
2022-04-22,150,0.4914249224594052,,,0.04999999999999999
2022-04-25,150,0.4856777960226236,,,0.0566666666666667
2022-04-29,150,0.4871002906976744,,,0.05666666666666664
2022-05-02,150,0.4879584017515052,,,0.07
2022-05-05,150,0.48918968023255816,,,0.06999999999999995
2022-05-06,150,0.48337572674418605,,,0.0766666666666666
2022-05-09,150,0.4844918810436052,,,0.09000000000000002
2022-05-11,150,0.48579545454545453,,,0.10333333333333339
2022-05-18,150,0.48579545454545453,,,0.10333333333333339
2022-05-20,150,0.4790016577638607,,,0.11000000000000004
2022-05-31,150,0.4790016577638607,,,0.11000000000000004
2022-06-09,150,0.48579545454545453,,,0.10333333333333339
2022-06-10,150,0.4790016577638607,,,0.11000000000000004
2022-06-13,150,0.4721296296296296,,,0.1166666666666667
2022-06-16,150,0.4721296296296296,,,0.1166666666666667
2022-06-27,150,0.46517042279754145,,,0.1233333333333334
2022-06-30,150,0.459675917303036,,,0.13
2022-07-14,150,0.4613943028485757,,,0.14333333333333337
2022-07-21,150,0.4613943028485757,,,0.14333333333333337
2022-07-22,150,0.4682436207859937,,,0.13666666666666671
2022-07-28,150,0.4613943028485757,,,0.14333333333333337
2022-08-19,150,0.4682436207859937,,,0.13666666666666671
2022-08-22,150,0.4682436207859937,,,0.13666666666666671
2022-08-26,150,0.46944444444444444,,,0.1366666666666666
2022-09-01,150,0.4638888888888889,,,0.1433333333333333
2022-09-02,150,0.4648185669552404,,,0.14333333333333337
2022-09-06,150,0.46675925925925926,,,0.15666666666666662
2022-09-16,150,0.4612037037037037,,,0.16333333333333333
2022-09-22,150,0.46340100577388715,,,0.17666666666666664
2022-09-23,150,0.46340100577388715,,,0.17666666666666664
